Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:30:61:81,-0.556,-0.837,-0.161,-28.381,29.114,-21.79
2025-02-01, 10:30:62:32,-0.585,-0.745,-0.097,-0.977,-46.387,-22.4
2025-02-01, 10:30:62:83,-0.342,-1.002,0.022,-8.423,-40.649,4.272
2025-02-01, 10:30:63:34,-0.184,-0.935,0.17,23.56,6.836,14.099
2025-02-01, 10:30:63:85,-0.262,-0.938,0.219,0.61,-0.488,0.977
2025-02-01, 10:30:64:36,-0.243,-0.941,0.221,-5.737,-0.854,-6.042
2025-02-01, 10:30:64:87,-0.226,-0.948,0.248,4.7,0.977,0.793
2025-02-01, 10:30:65:38,-0.232,-0.956,0.256,4.7,5.249,9.949
2025-02-01, 10:30:65:89,-0.259,-0.785,0.512,116.516,37.903,-6.775
2025-02-01, 10:30:66:40,-0.534,-0.529,0.806,9.216,14.954,-0.244
2025-02-01, 10:30:66:91,-0.682,-0.43,0.575,11.78,0.122,2.441
2025-02-01, 10:30:67:42,-0.577,-0.633,0.519,-11.78,-3.662,-4.883
2025-02-01, 10:30:67:93,-0.544,-0.661,0.506,-1.892,2.441,1.587
2025-02-01, 10:30:68:44,-0.542,-0.677,0.508,-1.465,1.892,1.038
2025-02-01, 10:30:68:95,-0.541,-0.672,0.497,-0.61,-0.671,-2.502
2025-02-01, 10:30:69:46,-0.536,-0.678,0.499,-0.671,-0.061,0.122
2025-02-01, 10:30:69:97,-0.541,-0.677,0.493,0.549,-0.549,-0.427
2025-02-01, 10:30:70:48,-0.384,-1.069,0.099,-45.105,61.218,-29.846
2025-02-01, 10:30:70:99,-0.829,-0.537,-0.086,-35.034,-21.362,61.462
2025-02-01, 10:30:71:50,-0.702,-0.629,-0.285,-12.634,64.087,-10.925
2025-02-01, 10:30:72:01,-0.391,-0.589,-0.726,2.747,2.258,-0.732
2025-02-01, 10:30:72:52,-0.38,-0.525,-0.704,5.432,-5.066,34.241
2025-02-01, 10:30:73:03,-0.541,-0.339,-0.792,0.244,2.075,10.925
2025-02-01, 10:30:73:54,-0.538,-0.345,-0.79,2.502,6.287,3.113
2025-02-01, 10:30:74:06,-0.529,-0.393,-0.764,-0.732,-5.676,-13.062
2025-02-01, 10:30:74:57,-0.539,-0.448,-0.739,1.099,-5.127,-8.972
2025-02-01, 10:30:75:07,-0.545,-0.423,-0.772,-5.432,2.625,-1.038
2025-02-01, 10:30:75:58,-0.513,-0.419,-0.78,-3.052,1.038,-0.305
